Date,Actual High,Predicted High
2024-11-02,85,83
2024-11-01,86,83
2024-10-31,85,83
2024-10-30,86,83
2024-10-29,85,83
2024-10-28,83,83
2024-10-27,83,83
2024-10-26,86,83
2024-10-25,85,83
2024-10-24,84,83
2024-10-23,87,83
2024-10-22,86,58
2024-10-21,86,58
2024-10-20,86,58
2024-10-19,83,58
2024-10-18,78,58
2024-10-17,81,58
2024-10-16,88,58
2024-10-15,87,58
2024-10-14,89,58
2024-10-13,85,58
2024-10-12,83,58
2024-10-11,84,58
2024-10-10,88,58
2024-10-09,88,58
2024-10-08,83,58
2024-10-07,82,58
2024-10-06,83,58
2024-10-05,84,58
2024-10-04,87,58
2024-10-03,91,58
2024-10-02,93,58
2024-10-01,90,58
2024-09-30,91,58
2024-09-29,92,58
2024-09-28,93,58
2024-09-27,91,58
2024-09-26,90,58
2024-09-25,89,58
2024-09-24,91,58
2024-09-23,90,58
2024-09-22,92,58
2024-09-21,91,58
2024-09-20,92,58
2024-09-19,89,58
2024-09-18,94,58
2024-09-17,93,58
2024-09-16,94,58
2024-09-15,90,58
2024-09-14,93,58
2024-09-13,95,58
2024-09-12,92,58
2024-09-11,90,58
2024-09-10,89,58
2024-09-09,92,58
2024-09-08,91,58
2024-09-07,91,58
2024-09-06,91,58
2024-09-05,91,58
2024-09-04,91,58
2024-09-03,90,58
2024-09-02,90,58
2024-09-01,87,58
2024-08-31,88,58
2024-08-30,90,58
2024-08-29,89,58
2024-08-28,89,58
2024-08-27,92,58
2024-08-26,92,58
2024-08-25,91,58
2024-08-24,85,58
2024-08-23,91,58
2024-08-22,92,58
2024-08-21,88,58
2024-08-20,93,58
2024-08-19,90,58
2024-08-18,89,58
2024-08-17,91,58
2024-08-16,90,58
2024-08-15,98,58
2024-08-14,93,58
2024-08-13,94,58
2024-08-12,92,58
2024-08-11,92,58
2024-08-10,93,58
2024-08-09,94,58
2024-08-08,92,58
2024-08-07,95,58
2024-08-06,92,58
2024-08-05,93,58
